Accident_ID,Date_Time,Location,Weather_Condition,Road_Condition,Vehicle_Type,Accident_Severity,Number_of_Vehicles,Casualties,Traffic_Density
45ca9ff0,2024-02-22 07:00:00,Suburbs,Storm,Under Construction,Car,Minor,2,7,High
7d656c4e,2024-02-22 08:00:00,Suburbs,Clear,Dry,Car,Minor,1,7,Low
27d30dc0,2024-02-22 09:00:00,Industrial Area,Storm,Icy,Motorcycle,Minor,1,1,Low
9b6bb49e,2024-02-22 10:00:00,Downtown,Storm,Under Construction,Bicycle,Fatal,2,0,Moderate
dfea06ef,2024-02-22 11:00:00,Suburbs,Rain,Under Construction,Bus,Moderate,4,9,High
0321a012,2024-02-22 12:00:00,Suburbs,Rain,Dry,Bicycle,Moderate,1,1,Moderate
85dfd0d9,2024-02-22 13:00:00,Residential Zone,Fog,Wet,Motorcycle,Moderate,4,0,High
ba452656,2024-02-22 14:00:00,Residential Zone,Snow,Under Construction,Car,Moderate,3,2,High
1c51719e,2024-02-22 15:00:00,Residential Zone,Storm,Dry,Car,Moderate,3,7,Moderate
9b7ec4b4,2024-02-22 16:00:00,Downtown,Storm,Wet,Bicycle,Moderate,2,5,High
48e88a66,2024-02-22 17:00:00,Industrial Area,Rain,Wet,Car,Severe,1,6,Low
38515ce3,2024-02-22 18:00:00,Suburbs,Rain,Dry,Bicycle,Moderate,1,9,Low
e2872655,2024-02-22 19:00:00,Residential Zone,Rain,Wet,Truck,Minor,2,9,Low
6ece5404,2024-02-22 20:00:00,Industrial Area,Fog,Icy,Car,Severe,3,9,High
35cf969c,2024-02-22 21:00:00,Suburbs,Storm,Under Construction,Bicycle,Fatal,4,4,Moderate
a02ebafa,2024-02-22 22:00:00,Industrial Area,Snow,Wet,Car,Minor,4,8,High
b0698895,2024-02-22 23:00:00,Downtown,Clear,Under Construction,Bus,Moderate,3,3,High
d073610b,2024-02-23 00:00:00,Industrial Area,Storm,Dry,Bicycle,Fatal,4,3,High
19174fd0,2024-02-23 01:00:00,Downtown,Snow,Icy,Bicycle,Severe,3,5,Low
d8dc643f,2024-02-23 02:00:00,Highway,Rain,Icy,Car,Moderate,1,4,Low
49ae5fb4,2024-02-23 03:00:00,Downtown,Snow,Under Construction,Bicycle,Severe,2,6,Moderate
79b4e3d1,2024-02-23 04:00:00,Highway,Storm,Wet,Truck,Moderate,3,0,Moderate
48f1cbb6,2024-02-23 05:00:00,Highway,Rain,Icy,Truck,Severe,3,7,Low
2c2beb8b,2024-02-23 06:00:00,Downtown,Snow,Wet,Car,Minor,4,5,Moderate
9eb3213f,2024-02-23 07:00:00,Downtown,Storm,Icy,Bicycle,Moderate,2,2,Low
477b8ddb,2024-02-23 08:00:00,Suburbs,Clear,Dry,Truck,Fatal,1,4,Low
4e92fba8,2024-02-23 09:00:00,Suburbs,Snow,Dry,Truck,Severe,3,0,Low
a4fe1653,2024-02-23 10:00:00,Residential Zone,Rain,Wet,Bicycle,Minor,3,7,High
e8c775f6,2024-02-23 11:00:00,Highway,Rain,Under Construction,Truck,Moderate,3,1,Low
207b765e,2024-02-23 12:00:00,Residential Zone,Fog,Dry,Bicycle,Moderate,3,3,Low
87c9ea71,2024-02-23 13:00:00,Industrial Area,Snow,Under Construction,Bus,Moderate,3,0,High
c73a8ccd,2024-02-23 14:00:00,Downtown,Snow,Under Construction,Bicycle,Severe,1,6,High
99f285fe,2024-02-23 15:00:00,Industrial Area,Snow,Wet,Bus,Severe,4,7,High
7b562cc6,2024-02-23 16:00:00,Industrial Area,Fog,Dry,Bicycle,Severe,1,9,Low
544be4e1,2024-02-23 17:00:00,Suburbs,Fog,Icy,Bicycle,Moderate,3,8,High
24202ed6,2024-02-23 18:00:00,Residential Zone,Fog,Wet,Motorcycle,Minor,1,4,Low
40f1cb21,2024-02-23 19:00:00,Downtown,Storm,Dry,Car,Moderate,3,1,Low
6c2ff039,2024-02-23 20:00:00,Highway,Snow,Icy,Truck,Moderate,4,4,Moderate
df9485c9,2024-02-23 21:00:00,Industrial Area,Fog,Icy,Truck,Minor,2,0,High
88b60280,2024-02-23 22:00:00,Highway,Fog,Wet,Bus,Fatal,2,5,High
e76ad0d3,2024-02-23 23:00:00,Downtown,Clear,Icy,Bus,Severe,2,5,High
8760973d,2024-02-24 00:00:00,Suburbs,Storm,Wet,Bus,Minor,3,6,Moderate
b8dcbc93,2024-02-24 01:00:00,Industrial Area,Clear,Under Construction,Bicycle,Fatal,3,2,Low
d1b912af,2024-02-24 02:00:00,Residential Zone,Snow,Icy,Bicycle,Minor,1,8,Low
84cebba0,2024-02-24 03:00:00,Suburbs,Storm,Wet,Car,Moderate,2,1,Low
05edd739,2024-02-24 04:00:00,Suburbs,Clear,Icy,Car,Moderate,1,0,Moderate
01fe72d6,2024-02-24 05:00:00,Highway,Clear,Under Construction,Car,Fatal,4,4,Low
0f8f839d,2024-02-24 06:00:00,Downtown,Snow,Icy,Truck,Moderate,1,6,Moderate
37223ba5,2024-02-24 07:00:00,Downtown,Fog,Icy,Bicycle,Fatal,2,7,Moderate
8d0a855b,2024-02-24 08:00:00,Industrial Area,Rain,Under Construction,Truck,Severe,4,2,High
64efa3c6,2024-02-24 09:00:00,Residential Zone,Rain,Icy,Bicycle,Severe,1,0,High
5021130c,2024-02-24 10:00:00,Residential Zone,Storm,Wet,Motorcycle,Severe,4,1,Low
c6adea7e,2024-02-24 11:00:00,Suburbs,Rain,Wet,Car,Minor,3,5,Moderate
853af28e,2024-02-24 12:00:00,Suburbs,Fog,Dry,Truck,Moderate,4,5,High
95c16553,2024-02-24 13:00:00,Residential Zone,Fog,Icy,Car,Severe,2,8,Moderate
411066f8,2024-02-24 14:00:00,Industrial Area,Fog,Wet,Bicycle,Severe,4,3,Moderate
36462b69,2024-02-24 15:00:00,Downtown,Storm,Dry,Bicycle,Minor,4,3,High
8a2ddf7f,2024-02-24 16:00:00,Industrial Area,Clear,Icy,Bus,Fatal,3,4,Low
759efd97,2024-02-24 17:00:00,Suburbs,Rain,Wet,Motorcycle,Fatal,4,8,Low
7d0efe8e,2024-02-24 18:00:00,Highway,Fog,Icy,Bus,Fatal,2,0,Low
f65eff61,2024-02-24 19:00:00,Industrial Area,Storm,Dry,Car,Minor,2,0,High
56ed8773,2024-02-24 20:00:00,Downtown,Fog,Wet,Truck,Severe,1,6,High
d6adfc0e,2024-02-24 21:00:00,Residential Zone,Clear,Dry,Truck,Moderate,2,3,High
00b287f9,2024-02-24 22:00:00,Industrial Area,Fog,Under Construction,Bus,Fatal,2,9,Moderate
14d6e9a9,2024-02-24 23:00:00,Highway,Storm,Dry,Truck,Minor,2,3,High
a4ca0f6f,2024-02-25 00:00:00,Industrial Area,Storm,Wet,Bicycle,Fatal,2,9,Moderate
0945c735,2024-02-25 01:00:00,Industrial Area,Fog,Wet,Truck,Minor,1,9,High
4f090011,2024-02-25 02:00:00,Industrial Area,Clear,Icy,Car,Severe,3,9,High
765206a8,2024-02-25 03:00:00,Residential Zone,Rain,Dry,Bicycle,Moderate,4,8,High
5c51c20c,2024-02-25 04:00:00,Suburbs,Rain,Icy,Car,Minor,1,3,Moderate
e964fafa,2024-02-25 05:00:00,Residential Zone,Rain,Wet,Bicycle,Moderate,2,9,High
503ee100,2024-02-25 06:00:00,Downtown,Rain,Wet,Car,Moderate,3,5,Moderate
fac7e41b,2024-02-25 07:00:00,Highway,Storm,Under Construction,Truck,Minor,3,7,Moderate
53b6e032,2024-02-25 08:00:00,Highway,Storm,Icy,Bicycle,Fatal,2,2,Moderate
29f01211,2024-02-25 09:00:00,Residential Zone,Snow,Icy,Bus,Severe,3,4,Moderate
1cb918fb,2024-02-25 10:00:00,Residential Zone,Fog,Under Construction,Bus,Fatal,3,4,Moderate
5d635bac,2024-02-25 11:00:00,Downtown,Snow,Dry,Bus,Minor,4,7,Moderate
20b272eb,2024-02-25 12:00:00,Downtown,Storm,Wet,Truck,Minor,1,6,Low
dd5ed616,2024-02-25 13:00:00,Residential Zone,Clear,Dry,Motorcycle,Moderate,1,8,Low
f7fcbb76,2024-02-25 14:00:00,Downtown,Rain,Wet,Bicycle,Minor,4,6,Low
121a51d4,2024-02-25 15:00:00,Residential Zone,Clear,Under Construction,Bicycle,Severe,2,9,High
67ce3f8f,2024-02-25 16:00:00,Suburbs,Rain,Icy,Bus,Minor,1,1,Low
f3815b8d,2024-02-25 17:00:00,Suburbs,Rain,Dry,Truck,Moderate,4,9,High
231ec645,2024-02-25 18:00:00,Residential Zone,Rain,Icy,Bus,Moderate,2,2,Moderate
ebd59189,2024-02-25 19:00:00,Downtown,Clear,Icy,Bicycle,Moderate,1,0,High
7d25110e,2024-02-25 20:00:00,Suburbs,Snow,Dry,Motorcycle,Moderate,4,3,Low
ef76761e,2024-02-25 21:00:00,Residential Zone,Snow,Under Construction,Motorcycle,Moderate,1,8,Low
cad7c739,2024-02-25 22:00:00,Residential Zone,Rain,Dry,Motorcycle,Fatal,3,0,Low
efcc92d3,2024-02-25 23:00:00,Industrial Area,Rain,Icy,Truck,Moderate,4,6,High
83988f5a,2024-02-26 00:00:00,Suburbs,Rain,Wet,Bicycle,Fatal,1,8,High
18b85e89,2024-02-26 01:00:00,Residential Zone,Fog,Dry,Car,Moderate,4,4,High
c2c5244c,2024-02-26 02:00:00,Suburbs,Snow,Wet,Motorcycle,Minor,4,1,Moderate
951776a4,2024-02-26 03:00:00,Residential Zone,Rain,Under Construction,Truck,Minor,4,0,High
c72c6e30,2024-02-26 04:00:00,Suburbs,Snow,Dry,Truck,Severe,1,9,Low
05273318,2024-02-26 05:00:00,Downtown,Fog,Dry,Bicycle,Moderate,4,7,Low
65fcdbba,2024-02-26 06:00:00,Residential Zone,Snow,Under Construction,Bus,Fatal,4,2,Low
e267e662,2024-02-26 07:00:00,Highway,Rain,Icy,Truck,Moderate,2,4,Low
74b84304,2024-02-26 08:00:00,Suburbs,Clear,Icy,Bus,Minor,1,3,Moderate
a0436cdc,2024-02-26 09:00:00,Suburbs,Snow,Under Construction,Motorcycle,Moderate,4,5,Low
bcd4d968,2024-02-26 10:00:00,Residential Zone,Rain,Wet,Truck,Fatal,4,5,Low
c3e4a815,2024-02-26 11:00:00,Highway,Fog,Wet,Motorcycle,Minor,1,8,Moderate
8cabdff6,2024-02-26 12:00:00,Suburbs,Rain,Wet,Bicycle,Moderate,1,6,High
f4acf2fa,2024-02-26 13:00:00,Residential Zone,Storm,Wet,Motorcycle,Severe,3,0,Low
fe86dc41,2024-02-26 14:00:00,Downtown,Clear,Icy,Truck,Minor,4,2,Moderate
7b5bbe64,2024-02-26 15:00:00,Downtown,Fog,Dry,Car,Fatal,1,8,Low
a024fe01,2024-02-26 16:00:00,Residential Zone,Fog,Under Construction,Truck,Severe,2,0,High
30ee470f,2024-02-26 17:00:00,Highway,Fog,Icy,Car,Severe,1,9,Low
c505dd37,2024-02-26 18:00:00,Residential Zone,Rain,Dry,Bicycle,Moderate,1,0,High
c59a24d2,2024-02-26 19:00:00,Residential Zone,Clear,Under Construction,Motorcycle,Fatal,3,0,High
0f38b367,2024-02-26 20:00:00,Industrial Area,Storm,Under Construction,Bicycle,Severe,2,1,High
3d743377,2024-02-26 21:00:00,Highway,Fog,Dry,Truck,Fatal,3,7,Low
f109cb22,2024-02-26 22:00:00,Downtown,Storm,Icy,Truck,Moderate,2,0,High
e31ef896,2024-02-26 23:00:00,Residential Zone,Snow,Icy,Bus,Moderate,1,0,Moderate
134cc2f4,2024-02-27 00:00:00,Industrial Area,Fog,Wet,Car,Moderate,3,1,High
8ad10f30,2024-02-27 01:00:00,Suburbs,Rain,Dry,Bicycle,Severe,3,2,High
d0aef57d,2024-02-27 02:00:00,Industrial Area,Snow,Dry,Truck,Severe,2,7,Low
a6cb9d8b,2024-02-27 03:00:00,Highway,Clear,Dry,Car,Severe,3,8,Moderate
bd276664,2024-02-27 04:00:00,Industrial Area,Snow,Under Construction,Motorcycle,Fatal,3,7,High
9331dede,2024-02-27 05:00:00,Downtown,Snow,Under Construction,Bicycle,Severe,2,2,Moderate
be1d0ad7,2024-02-27 06:00:00,Highway,Snow,Wet,Bicycle,Fatal,3,0,High
e7fc75b8,2024-02-27 07:00:00,Suburbs,Snow,Under Construction,Car,Fatal,2,0,High
272fc1da,2024-02-27 08:00:00,Downtown,Fog,Under Construction,Truck,Fatal,2,4,High
35a16ee7,2024-02-27 09:00:00,Suburbs,Clear,Under Construction,Car,Moderate,1,8,Moderate
5ed24e41,2024-02-27 10:00:00,Residential Zone,Storm,Icy,Car,Moderate,4,0,High
8089ccb9,2024-02-27 11:00:00,Residential Zone,Snow,Wet,Motorcycle,Fatal,4,7,High
86d80bce,2024-02-27 12:00:00,Downtown,Fog,Wet,Bicycle,Fatal,2,1,Moderate
c82f3ad2,2024-02-27 13:00:00,Residential Zone,Snow,Under Construction,Motorcycle,Minor,2,5,Moderate
f4b068fc,2024-02-27 14:00:00,Suburbs,Storm,Dry,Car,Fatal,1,0,Low
e47ed405,2024-02-27 15:00:00,Industrial Area,Snow,Wet,Car,Fatal,4,7,Low
b138e8ba,2024-02-27 16:00:00,Suburbs,Fog,Under Construction,Car,Fatal,1,4,Low
2156c860,2024-02-27 17:00:00,Residential Zone,Rain,Dry,Bus,Moderate,3,1,Moderate
debba4c0,2024-02-27 18:00:00,Highway,Rain,Under Construction,Motorcycle,Minor,2,8,High
ccf059a9,2024-02-27 19:00:00,Industrial Area,Fog,Wet,Bus,Moderate,3,6,Moderate
dc18f18c,2024-02-27 20:00:00,Highway,Clear,Under Construction,Bus,Severe,1,4,Low
679a1543,2024-02-27 21:00:00,Suburbs,Rain,Under Construction,Bicycle,Moderate,1,8,Moderate
44f60652,2024-02-27 22:00:00,Residential Zone,Fog,Under Construction,Bus,Fatal,2,1,Low
ea1cddb9,2024-02-27 23:00:00,Industrial Area,Storm,Wet,Bicycle,Fatal,1,8,Low
6737cd81,2024-02-28 00:00:00,Residential Zone,Clear,Wet,Car,Fatal,2,3,Low
68d2b4d0,2024-02-28 01:00:00,Suburbs,Storm,Wet,Bicycle,Moderate,2,1,Moderate
314c26ac,2024-02-28 02:00:00,Downtown,Snow,Icy,Motorcycle,Moderate,4,2,Low
b4e1a1cd,2024-02-28 03:00:00,Highway,Fog,Icy,Truck,Severe,4,9,Low
65f82062,2024-02-28 04:00:00,Highway,Storm,Wet,Car,Fatal,4,7,High
c4b4ae5c,2024-02-28 05:00:00,Industrial Area,Fog,Icy,Bus,Fatal,1,5,Moderate
968e7f35,2024-02-28 06:00:00,Suburbs,Storm,Under Construction,Bicycle,Moderate,2,6,Moderate
4c2efeb4,2024-02-28 07:00:00,Downtown,Snow,Under Construction,Motorcycle,Severe,1,9,High
0133c994,2024-02-28 08:00:00,Suburbs,Rain,Under Construction,Bus,Fatal,4,3,Moderate
82634c29,2024-02-28 09:00:00,Suburbs,Clear,Icy,Motorcycle,Severe,1,5,Low
9480feb4,2024-02-28 10:00:00,Residential Zone,Fog,Dry,Car,Minor,3,0,Low
d6cd20a2,2024-02-28 11:00:00,Downtown,Snow,Under Construction,Bus,Moderate,3,3,Moderate
64f76de2,2024-02-28 12:00:00,Suburbs,Clear,Wet,Car,Fatal,2,5,Moderate
668e4fe0,2024-02-28 13:00:00,Residential Zone,Rain,Under Construction,Car,Moderate,3,2,Moderate
990ae0cb,2024-02-28 14:00:00,Suburbs,Fog,Wet,Truck,Severe,2,4,Moderate
db0245f5,2024-02-28 15:00:00,Industrial Area,Clear,Dry,Bicycle,Minor,2,7,Moderate
ba2b7a7b,2024-02-28 16:00:00,Residential Zone,Rain,Wet,Motorcycle,Fatal,2,9,Moderate
508ab9bc,2024-02-28 17:00:00,Downtown,Fog,Under Construction,Truck,Fatal,1,1,Low
dc496c0d,2024-02-28 18:00:00,Highway,Rain,Wet,Bus,Moderate,4,7,Low
98c3d2d2,2024-02-28 19:00:00,Highway,Snow,Under Construction,Truck,Fatal,4,1,Moderate
b1827e04,2024-02-28 20:00:00,Industrial Area,Storm,Dry,Truck,Fatal,3,0,Low
1a2fd2f6,2024-02-28 21:00:00,Downtown,Clear,Icy,Bicycle,Moderate,2,7,Low
fb0cc913,2024-02-28 22:00:00,Downtown,Storm,Icy,Car,Minor,3,5,Low
09df38eb,2024-02-28 23:00:00,Downtown,Fog,Under Construction,Bus,Minor,4,3,Moderate
b9cf62c0,2024-02-29 00:00:00,Downtown,Storm,Wet,Bus,Moderate,1,6,High
6cb1db18,2024-02-29 01:00:00,Highway,Rain,Under Construction,Bicycle,Moderate,1,8,Moderate
61a9191e,2024-02-29 02:00:00,Downtown,Snow,Under Construction,Truck,Severe,3,5,High
fe229d0d,2024-02-29 03:00:00,Suburbs,Storm,Icy,Car,Moderate,3,4,High
ae54cc67,2024-02-29 04:00:00,Downtown,Snow,Dry,Motorcycle,Severe,4,3,High
248fe8eb,2024-02-29 05:00:00,Downtown,Fog,Under Construction,Car,Moderate,2,8,Low
18f02c8c,2024-02-29 06:00:00,Highway,Storm,Icy,Bicycle,Minor,3,3,Moderate
1089eeb4,2024-02-29 07:00:00,Downtown,Snow,Under Construction,Car,Severe,1,2,Low
0f647564,2024-02-29 08:00:00,Suburbs,Snow,Wet,Motorcycle,Moderate,1,3,High
527be9e9,2024-02-29 09:00:00,Residential Zone,Storm,Wet,Car,Severe,3,2,Moderate
858f707e,2024-02-29 10:00:00,Residential Zone,Rain,Dry,Motorcycle,Moderate,3,3,High
8fbfbc0b,2024-02-29 11:00:00,Suburbs,Clear,Under Construction,Car,Fatal,2,3,High
589baf7c,2024-02-29 12:00:00,Downtown,Snow,Under Construction,Bus,Severe,2,3,High
90a87af2,2024-02-29 13:00:00,Residential Zone,Rain,Icy,Car,Moderate,3,2,Moderate
24041fb0,2024-02-29 14:00:00,Industrial Area,Storm,Wet,Motorcycle,Moderate,2,0,Moderate
55c67ab1,2024-02-29 15:00:00,Residential Zone,Clear,Icy,Car,Severe,1,0,High
584de9f4,2024-02-29 16:00:00,Downtown,Fog,Wet,Truck,Minor,2,6,High
3b1c2369,2024-02-29 17:00:00,Suburbs,Rain,Wet,Truck,Minor,3,3,High
89d99b90,2024-02-29 18:00:00,Suburbs,Fog,Wet,Car,Moderate,4,1,High
a53d6ac6,2024-02-29 19:00:00,Highway,Fog,Dry,Motorcycle,Minor,2,9,Low
b3e7a093,2024-02-29 20:00:00,Residential Zone,Rain,Dry,Truck,Severe,2,3,High
3d39b7a9,2024-02-29 21:00:00,Residential Zone,Fog,Dry,Bicycle,Moderate,3,2,Low
90bcebe9,2024-02-29 22:00:00,Industrial Area,Fog,Wet,Car,Fatal,2,8,High
359136fc,2024-02-29 23:00:00,Highway,Rain,Icy,Bus,Severe,4,5,Moderate
5cf6ed34,2024-03-01 00:00:00,Suburbs,Fog,Wet,Bicycle,Severe,1,3,High
84fcb022,2024-03-01 01:00:00,Highway,Fog,Icy,Car,Fatal,3,6,High
f65e9591,2024-03-01 02:00:00,Industrial Area,Clear,Wet,Bus,Severe,3,9,High
bcbaf7a8,2024-03-01 03:00:00,Downtown,Clear,Dry,Car,Moderate,2,7,High
04729635,2024-03-01 04:00:00,Industrial Area,Clear,Dry,Bicycle,Moderate,1,1,Low
7ceb5a3c,2024-03-01 05:00:00,Downtown,Rain,Under Construction,Motorcycle,Moderate,4,8,Moderate
dcdc1d77,2024-03-01 06:00:00,Suburbs,Clear,Under Construction,Motorcycle,Severe,3,3,Low
38b2924e,2024-03-01 07:00:00,Highway,Storm,Dry,Bicycle,Minor,1,7,High
2a14574c,2024-03-01 08:00:00,Industrial Area,Storm,Wet,Car,Fatal,1,7,Moderate
c2ab81f0,2024-03-01 09:00:00,Downtown,Fog,Icy,Bus,Fatal,1,2,Low
79726e42,2024-03-01 10:00:00,Industrial Area,Storm,Wet,Car,Minor,4,1,Low
c7e63652,2024-03-01 11:00:00,Suburbs,Storm,Icy,Motorcycle,Fatal,1,1,High
0b81f6b6,2024-03-01 12:00:00,Downtown,Snow,Dry,Bicycle,Minor,1,8,High
91fcc5d6,2024-03-01 13:00:00,Suburbs,Rain,Dry,Bicycle,Severe,2,0,High
a5214540,2024-03-01 14:00:00,Residential Zone,Fog,Wet,Motorcycle,Fatal,4,0,Moderate
911987a0,2024-03-01 15:00:00,Residential Zone,Storm,Under Construction,Car,Moderate,1,2,Low
fe3a98f7,2024-03-01 16:00:00,Highway,Storm,Under Construction,Bus,Fatal,4,5,Moderate
60ed8ee8,2024-03-01 17:00:00,Downtown,Clear,Icy,Car,Severe,4,9,High
8bde680d,2024-03-01 18:00:00,Suburbs,Rain,Icy,Bus,Minor,3,4,Moderate
724ab607,2024-03-01 19:00:00,Downtown,Snow,Icy,Bicycle,Minor,4,4,Moderate
5b38b164,2024-03-01 20:00:00,Highway,Rain,Dry,Bus,Severe,4,6,Moderate
5fb188eb,2024-03-01 21:00:00,Downtown,Rain,Wet,Car,Minor,2,0,High
d89eb077,2024-03-01 22:00:00,Industrial Area,Snow,Under Construction,Truck,Fatal,2,5,High
6b66b710,2024-03-01 23:00:00,Suburbs,Storm,Under Construction,Bicycle,Fatal,4,6,Low
b3f1bc7d,2024-03-02 00:00:00,Highway,Rain,Wet,Truck,Minor,3,1,Low
6d8028e8,2024-03-02 01:00:00,Residential Zone,Storm,Under Construction,Motorcycle,Moderate,1,1,Moderate
fb8bcd5b,2024-03-02 02:00:00,Highway,Snow,Icy,Car,Moderate,2,6,Low
91b23bbc,2024-03-02 03:00:00,Residential Zone,Rain,Under Construction,Bicycle,Fatal,4,8,Low
857bb8be,2024-03-02 04:00:00,Industrial Area,Clear,Wet,Bus,Severe,2,3,High
391899a3,2024-03-02 05:00:00,Residential Zone,Clear,Icy,Truck,Moderate,1,9,Low
55b7a2fc,2024-03-02 06:00:00,Downtown,Rain,Dry,Bus,Fatal,3,2,High
749dec22,2024-03-02 07:00:00,Highway,Snow,Wet,Motorcycle,Minor,1,0,High
52c8a518,2024-03-02 08:00:00,Downtown,Snow,Icy,Bus,Severe,2,1,Low
25979df0,2024-03-02 09:00:00,Suburbs,Clear,Under Construction,Car,Moderate,3,1,High
9324b4b3,2024-03-02 10:00:00,Suburbs,Clear,Under Construction,Bicycle,Minor,1,4,High
4e183dc3,2024-03-02 11:00:00,Highway,Rain,Wet,Truck,Moderate,2,0,High
53152e49,2024-03-02 12:00:00,Industrial Area,Storm,Dry,Motorcycle,Moderate,3,7,Low
3c0075ae,2024-03-02 13:00:00,Industrial Area,Storm,Dry,Motorcycle,Minor,2,5,Moderate
d6199d90,2024-03-02 14:00:00,Suburbs,Clear,Wet,Car,Severe,3,7,Moderate
7d9a4f65,2024-03-02 15:00:00,Residential Zone,Storm,Icy,Car,Moderate,3,3,Low
41f5bbf1,2024-03-02 16:00:00,Residential Zone,Storm,Wet,Bus,Moderate,2,9,Moderate
4fe3dc16,2024-03-02 17:00:00,Residential Zone,Snow,Dry,Motorcycle,Minor,2,4,Moderate
6c4a60ce,2024-03-02 18:00:00,Downtown,Fog,Wet,Truck,Fatal,4,2,Low
30bd6270,2024-03-02 19:00:00,Downtown,Fog,Under Construction,Car,Severe,4,1,High
756f1293,2024-03-02 20:00:00,Residential Zone,Rain,Under Construction,Truck,Minor,4,4,High
a0620111,2024-03-02 21:00:00,Industrial Area,Snow,Under Construction,Motorcycle,Minor,4,1,Low
2e416313,2024-03-02 22:00:00,Downtown,Storm,Under Construction,Car,Minor,1,8,Low
46a25116,2024-03-02 23:00:00,Downtown,Clear,Icy,Motorcycle,Moderate,2,1,Low
f7beaa42,2024-03-03 00:00:00,Industrial Area,Snow,Icy,Bus,Severe,4,6,Moderate
4cda556f,2024-03-03 01:00:00,Residential Zone,Rain,Icy,Bicycle,Severe,3,6,High
92a736ce,2024-03-03 02:00:00,Suburbs,Rain,Icy,Bicycle,Moderate,3,6,High
18ffbde3,2024-03-03 03:00:00,Industrial Area,Fog,Under Construction,Truck,Severe,1,0,High
cc8ee0a2,2024-03-03 04:00:00,Suburbs,Snow,Wet,Bicycle,Moderate,2,2,High
ab1db49c,2024-03-03 05:00:00,Industrial Area,Storm,Under Construction,Truck,Moderate,2,3,High
0b54ff61,2024-03-03 06:00:00,Highway,Clear,Under Construction,Bus,Severe,2,9,High
84ee7caa,2024-03-03 07:00:00,Suburbs,Rain,Wet,Truck,Minor,2,2,High
f3324017,2024-03-03 08:00:00,Highway,Fog,Dry,Truck,Severe,2,3,Moderate
6875cb7e,2024-03-03 09:00:00,Residential Zone,Rain,Under Construction,Car,Moderate,2,1,Low
22dfbfd1,2024-03-03 10:00:00,Downtown,Snow,Dry,Truck,Fatal,2,6,Low
aae2c2e0,2024-03-03 11:00:00,Industrial Area,Snow,Under Construction,Truck,Severe,1,7,High
82813499,2024-03-03 12:00:00,Suburbs,Storm,Icy,Bicycle,Fatal,1,8,High
e3b678d6,2024-03-03 13:00:00,Residential Zone,Clear,Wet,Car,Moderate,3,1,Moderate
f58e9698,2024-03-03 14:00:00,Residential Zone,Snow,Wet,Car,Moderate,4,5,Low
7269a121,2024-03-03 15:00:00,Downtown,Rain,Under Construction,Bus,Fatal,3,1,Low
d9b358df,2024-03-03 16:00:00,Suburbs,Rain,Icy,Bus,Moderate,4,5,Moderate
c2064ca4,2024-03-03 17:00:00,Downtown,Clear,Dry,Car,Severe,2,3,Low
631613c1,2024-03-03 18:00:00,Industrial Area,Rain,Under Construction,Truck,Severe,4,1,Low
397555be,2024-03-03 19:00:00,Highway,Rain,Dry,Bus,Moderate,1,1,Low
da01c12e,2024-03-03 20:00:00,Highway,Snow,Wet,Bicycle,Severe,2,6,Low
d79d19b0,2024-03-03 21:00:00,Residential Zone,Rain,Icy,Bicycle,Fatal,3,6,High
13fc6140,2024-03-03 22:00:00,Residential Zone,Rain,Icy,Truck,Severe,2,0,Moderate
7c2a2d58,2024-03-03 23:00:00,Residential Zone,Storm,Dry,Truck,Moderate,3,9,Low
22759da4,2024-03-04 00:00:00,Suburbs,Fog,Dry,Motorcycle,Fatal,4,1,Low
17d07d7a,2024-03-04 01:00:00,Industrial Area,Snow,Wet,Truck,Moderate,3,9,Moderate
5793898b,2024-03-04 02:00:00,Suburbs,Storm,Wet,Truck,Moderate,2,4,Moderate
09f77367,2024-03-04 03:00:00,Industrial Area,Rain,Icy,Bus,Fatal,3,9,Low
7721873f,2024-03-04 04:00:00,Industrial Area,Fog,Dry,Truck,Severe,4,7,Moderate
cad7eb38,2024-03-04 05:00:00,Industrial Area,Storm,Under Construction,Motorcycle,Fatal,3,0,High
4bef260a,2024-03-04 06:00:00,Industrial Area,Rain,Icy,Truck,Minor,2,6,High
2368204e,2024-03-04 07:00:00,Downtown,Rain,Icy,Truck,Minor,4,2,Moderate
ed9633aa,2024-03-04 08:00:00,Downtown,Fog,Dry,Motorcycle,Severe,4,2,Moderate
077ff53c,2024-03-04 09:00:00,Industrial Area,Snow,Under Construction,Bicycle,Fatal,1,9,High
ab754821,2024-03-04 10:00:00,Industrial Area,Fog,Icy,Bicycle,Moderate,2,3,Low
4dbb66e5,2024-03-04 11:00:00,Suburbs,Fog,Under Construction,Car,Fatal,3,6,Moderate
ad229b47,2024-03-04 12:00:00,Industrial Area,Rain,Under Construction,Bus,Moderate,2,5,High
623336f8,2024-03-04 13:00:00,Downtown,Clear,Dry,Bicycle,Fatal,2,1,Low
7a38d67c,2024-03-04 14:00:00,Suburbs,Rain,Wet,Motorcycle,Minor,2,9,Low
e0bfc51c,2024-03-04 15:00:00,Downtown,Clear,Under Construction,Truck,Severe,1,0,Moderate
b95b04e4,2024-03-04 16:00:00,Residential Zone,Fog,Wet,Truck,Minor,3,8,High
ae89daf1,2024-03-04 17:00:00,Residential Zone,Fog,Dry,Bicycle,Severe,1,1,High
ed1d1409,2024-03-04 18:00:00,Highway,Fog,Dry,Truck,Severe,3,3,High
